,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,new_addition
17,UMI-tools,CGATOxford/UMI-tools,sam-bam,True,https://github.com/CGATOxford/UMI-tools,https://github.com/CGATOxford/UMI-tools,MIT,2015-03-06 15:10:20,2021-02-01 23:33:57,2021-02-01 23:33:56,158.0,28.0,291.0,307,850.0,2020-11-18 19:58:45,1.1.1,29.0,Tools for handling Unique Molecular Identifiers in NGS data sets.,,,29.0,19,2,3213.0,55.0,
18,delly,dellytools/delly,structural-variation,True,https://github.com/dellytools/delly,https://github.com/dellytools/delly,BSD-3-Clause,2013-11-15 08:51:49,2021-01-06 19:36:53,2021-01-06 19:36:46,98.0,14.0,197.0,239,1184.0,2021-01-05 10:34:41,0.8.7,34.0,DELLY2: Structural variant discovery by integrated paired-end and split-read analysis.,,,9.0,19,1,17323.0,199.0,
19,mhcflurry,openvax/mhcflurry,mhc-hla,True,https://github.com/openvax/mhcflurry,https://github.com/openvax/mhcflurry,Apache-2.0,2015-06-29 02:29:54,2021-01-07 20:47:10,2021-01-07 20:47:05,32.0,3.0,101.0,106,1607.0,2020-07-20 14:55:52,2.0.1,23.0,Peptide-MHC I binding affinity prediction.,14.0,14.0,12.0,19,1,42961.0,810.0,
20,bwa,lh3/bwa,ngs-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2021-02-04 15:08:50,2020-07-02 17:49:42,432.0,123.0,82.0,946,931.0,2017-10-23 17:12:23,0.7.17,4.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,,,31.0,18,2,49798.0,829.0,
21,seqkit,shenwei356/seqkit,fasta-fastq,True,https://github.com/shenwei356/seqkit,https://github.com/shenwei356/seqkit,MIT,2016-02-28 10:04:40,2021-01-31 14:05:34,2021-01-31 14:05:21,86.0,6.0,144.0,590,566.0,2021-01-12 14:39:55,0.15.0,72.0,A cross-platform and ultrafast toolkit for FASTA/Q file manipulation in Golang.,,,5.0,18,1,41974.0,711.0,
22,vcflib,vcflib/vcflib,vcf-bcf,True,https://github.com/vcflib/vcflib,https://github.com/vcflib/vcflib,MIT,2010-09-22 23:25:59,2021-01-30 06:51:48,2021-01-30 06:51:35,177.0,20.0,191.0,411,962.0,2021-01-04 16:42:33,1.0.2,5.0,C++ library and cmdline tools for parsing and manipulating VCF files.,,,66.0,18,2,743.0,12.0,
23,mosdepth,brentp/mosdepth,sam-bam,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2020-11-20 16:00:42,2020-11-20 16:00:16,65.0,21.0,97.0,372,198.0,2020-09-29 21:44:09,0.3.1,20.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",,,14.0,18,3,62440.0,1486.0,
24,pyfaidx,mdshw5/pyfaidx,fasta-fastq,True,https://github.com/mdshw5/pyfaidx,https://github.com/mdshw5/pyfaidx,,2013-09-12 19:02:32,2020-12-08 23:10:38,2020-12-08 23:07:05,50.0,13.0,110.0,303,667.0,2020-12-08 23:10:38,0.5.9.2,60.0,Efficient pythonic random access to fasta subsequences.,438.0,438.0,25.0,18,1,,,
25,pysam,pysam-developers/pysam,sam-bam,True,https://github.com/pysam-developers/pysam,https://github.com/pysam-developers/pysam,MIT,2014-02-05 20:38:10,2021-01-12 22:10:42,2021-01-11 19:58:05,198.0,195.0,496.0,483,1894.0,2020-06-16 23:04:57,0.16.0.1,28.0,Pysam is a Python module for reading and manipulating SAM/BAM/VCF/BCF files. It's a lightweight wrapper of the htslib..,,,96.0,17,3,,,
26,ensembl-vep,Ensembl/ensembl-vep,variant-annotation,True,https://github.com/Ensembl/ensembl-vep,https://github.com/Ensembl/ensembl-vep,Apache-2.0,2016-04-05 12:08:24,2021-01-26 11:37:48,2020-11-10 16:58:17,93.0,75.0,468.0,247,1621.0,2020-11-30 17:14:29,release/102.0,47.0,The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants.,,,22.0,17,1,,,
27,cyvcf2,brentp/cyvcf2,vcf-bcf,True,https://github.com/brentp/cyvcf2,https://github.com/brentp/cyvcf2,MIT,2015-08-12 14:30:29,2021-01-26 15:14:29,2021-01-26 15:14:28,48.0,28.0,110.0,236,382.0,,,,cython + htslib == fast VCF and BCF processing.,175.0,175.0,29.0,17,3,,,
28,fastp,OpenGene/fastp,fasta-fastq,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2021-01-05 07:19:54,2020-10-14 09:40:00,193.0,147.0,145.0,938,337.0,2020-04-08 08:09:09,0.20.1,35.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,,,17.0,16,2,,,
29,igv,igvteam/igv,visualization,True,https://github.com/igvteam/igv,https://github.com/igvteam/igv,MIT,2012-02-11 17:30:30,2021-02-05 04:40:02,2021-02-03 22:15:41,192.0,55.0,670.0,414,6379.0,,,,"Integrative Genomics Viewer. Fast, efficient, scalable visualization tool for genomics data and annotations.",,,53.0,16,3,,,True
30,Jellyfish,gmarcais/Jellyfish,others,True,https://github.com/gmarcais/Jellyfish,https://github.com/gmarcais/Jellyfish,,2013-12-02 16:37:55,2020-12-01 09:26:39,2020-05-05 18:35:47,118.0,70.0,83.0,277,630.0,2019-07-13 12:25:04,2.3.0,11.0,A fast multi-threaded k-mer counter.,,,12.0,16,2,83553.0,1193.0,
31,manta,Illumina/manta,structural-variation,True,https://github.com/Illumina/manta,https://github.com/Illumina/manta,,2013-05-30 19:33:47,2019-07-17 18:40:58,2019-07-17 18:40:08,83.0,82.0,166.0,260,2631.0,2019-07-17 18:30:16,1.5.1,54.0,Structural variant and indel caller for mapped sequencing data.,,,22.0,16,2,21856.0,248.0,
32,DnaFeaturesViewer,Edinburgh-Genome-Foundry/DnaFeaturesViewer,visualization,True,https://github.com/Edinburgh-Genome-Foundry/DnaFeaturesViewer,https://github.com/Edinburgh-Genome-Foundry/DnaFeaturesViewer,MIT,2016-09-20 16:57:39,2020-12-01 17:25:15,2020-09-20 18:38:58,43.0,22.0,24.0,245,156.0,2020-09-20 18:40:46,3.0.3,2.0,Python library to plot DNA sequence features (e.g. from Genbank files).,,,5.0,16,3,,,True
33,strelka,Illumina/strelka,variant-caller,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,,2016-10-17 23:30:24,2020-10-16 22:22:33,2019-02-06 00:41:27,68.0,82.0,104.0,237,3300.0,2018-11-08 00:50:05,2.9.10,18.0,Strelka2 germline and somatic small variant caller.,,,28.0,16,3,15126.0,290.0,
34,Augustus,Gaius-Augustus/Augustus,others,True,https://github.com/Gaius-Augustus/Augustus,https://github.com/Gaius-Augustus/Augustus,,2018-05-24 17:34:26,2021-01-28 10:29:07,2021-01-28 10:28:50,60.0,95.0,74.0,122,2408.0,2020-12-11 16:09:15,3.4.0,3.0,Genome annotation with AUGUSTUS.,,,30.0,16,2,2532.0,90.0,
35,MACS,macs3-project/MACS,others,True,https://github.com/macs3-project/MACS,https://github.com/macs3-project/MACS,BSD-3-Clause,2011-03-02 19:40:25,2020-12-31 12:34:24,2020-12-09 08:14:17,212.0,190.0,182.0,467,1067.0,2020-04-12 00:06:32,2.2.7.1,18.0,MACS -- Model-based Analysis of ChIP-Seq.,,,18.0,15,2,,,
36,pyGenomeTracks,deeptools/pyGenomeTracks,visualization,True,https://github.com/deeptools/pyGenomeTracks,https://github.com/deeptools/pyGenomeTracks,GPL-3.0,2017-10-27 14:23:59,2020-11-19 11:45:15,2020-11-12 14:59:51,70.0,11.0,112.0,430,1283.0,2020-11-12 15:01:17,3.6,15.0,python module to plot beautiful and highly customizable genome browser tracks.,4.0,4.0,11.0,15,3,,,True
37,bwa-mem2,bwa-mem2/bwa-mem2,ngs-alignment,True,https://github.com/bwa-mem2/bwa-mem2,https://github.com/bwa-mem2/bwa-mem2,,2019-02-26 15:00:44,2021-01-05 14:02:40,2021-01-05 14:02:40,46.0,14.0,88.0,390,219.0,2020-10-15 21:24:12,2.1,4.0,The next version of bwa-mem.,,,9.0,15,3,5167.0,246.0,
38,cnvkit,etal/cnvkit,structural-variation,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2021-01-01 15:15:33,2020-12-14 02:00:57,106.0,142.0,361.0,276,1544.0,2020-06-05 13:57:54,0.9.7,38.0,Copy number variant detection from targeted DNA sequencing.,,,22.0,15,2,,,
39,ngmlr,philres/ngmlr,ngs-alignment,True,https://github.com/philres/ngmlr,https://github.com/philres/ngmlr,MIT,2016-09-01 13:11:53,2020-09-24 05:59:17,2018-09-11 18:25:38,32.0,32.0,51.0,214,664.0,2018-06-25 08:30:20,0.2.7,10.0,NGMLR is a long-read mapper designed to align PacBio or Oxford Nanopore (standard and ultra-long) to a reference..,,,13.0,15,3,3926.0,74.0,True
40,seqtk,lh3/seqtk,fasta-fastq,True,https://github.com/lh3/seqtk,https://github.com/lh3/seqtk,MIT,2012-03-23 23:24:13,2020-12-06 17:15:40,2020-12-04 16:35:07,230.0,31.0,96.0,782,117.0,2018-06-18 00:25:49,1.3,3.0,Toolkit for processing sequences in FASTA/Q formats.,,,8.0,14,2,,,
41,wtdbg2,ruanjue/wtdbg2,assembler,True,https://github.com/ruanjue/wtdbg2,https://github.com/ruanjue/wtdbg2,GPL-3.0,2017-09-29 10:24:08,2020-12-11 02:30:40,2020-12-11 02:30:21,78.0,13.0,197.0,400,437.0,2019-09-13 08:06:32,2.5,6.0,Redbean: A fuzzy Bruijn graph approach to long noisy reads assembly.,,,7.0,14,1,1274.0,43.0,
42,Sniffles,fritzsedlazeck/Sniffles,structural-variation,True,https://github.com/fritzsedlazeck/Sniffles,https://github.com/fritzsedlazeck/Sniffles,MIT,2015-10-25 18:32:47,2020-12-18 14:47:59,2020-12-18 14:47:54,45.0,42.0,200.0,243,182.0,2020-07-14 17:27:50,1.0.12a,13.0,Structural variation caller using third generation sequencing.,,,10.0,14,3,,,
43,samblaster,GregoryFaust/samblaster,sam-bam,True,https://github.com/GregoryFaust/samblaster,https://github.com/GregoryFaust/samblaster,MIT,2014-02-11 18:27:47,2020-06-04 16:29:22,2020-06-04 16:29:03,21.0,9.0,33.0,159,88.0,2020-06-04 16:29:22,.0.1.26,14.0,samblaster: a tool to mark duplicates and extract discordant and split reads from sam files.,,,5.0,13,3,7787.0,93.0,
44,SOAPdenovo2,aquaskyline/SOAPdenovo2,assembler,True,https://github.com/aquaskyline/SOAPdenovo2,https://github.com/aquaskyline/SOAPdenovo2,GPL-3.0,2013-08-24 06:11:01,2021-01-21 02:55:17,2021-01-21 02:55:16,51.0,1.0,59.0,149,52.0,2020-10-23 01:21:46,r242,3.0,Next generation sequencing reads de novo assembler.,,,11.0,13,3,,,
45,VarDict,AstraZeneca-NGS/VarDict,variant-caller,True,https://github.com/AstraZeneca-NGS/VarDict,https://github.com/AstraZeneca-NGS/VarDict,MIT,2014-07-15 12:50:23,2021-01-25 14:10:55,2021-01-25 14:10:54,48.0,14.0,78.0,140,292.0,,,,VarDict.,,,21.0,13,3,,,
46,blasr,PacificBiosciences/blasr,ngs-alignment,True,https://github.com/PacificBiosciences/blasr,https://github.com/PacificBiosciences/blasr,BSD-3-Clause-Clear,2013-03-12 15:22:21,2020-12-17 08:00:23,2020-12-16 11:48:17,76.0,,,122,672.0,2019-03-11 23:28:52,5.3.3,5.0,BLASR: The PacBio long read aligner.,,,19.0,13,3,,,
47,fastx_toolkit,agordon/fastx_toolkit,fasta-fastq,True,https://github.com/agordon/fastx_toolkit,https://github.com/agordon/fastx_toolkit,,2013-11-08 13:03:39,2018-12-31 18:07:48,2017-08-14 18:08:32,52.0,7.0,11.0,119,178.0,2014-01-05 21:18:39,0.0.14,4.0,FASTA/FASTQ pre-processing programs.,,,3.0,13,2,68157.0,783.0,
48,OptiType,FRED-2/OptiType,mhc-hla,True,https://github.com/FRED-2/OptiType,https://github.com/FRED-2/OptiType,BSD-3-Clause,2014-05-07 12:08:32,2020-09-15 10:42:30,2020-09-15 10:27:36,63.0,28.0,60.0,114,136.0,2020-09-15 10:42:30,1.3.5,7.0,Precision HLA typing from next-generation sequencing data.,,,13.0,13,2,,,
49,MutScan,OpenGene/MutScan,fasta-fastq,True,https://github.com/OpenGene/MutScan,https://github.com/OpenGene/MutScan,MIT,2016-07-23 02:34:15,2020-01-21 01:36:20,2020-01-21 01:36:19,33.0,3.0,7.0,112,249.0,2018-05-17 13:43:13,1.14.0,26.0,Detect and visualize target mutations by scanning FastQ files directly.,,,4.0,13,2,7.0,0.0,
50,biobambam2,gt1/biobambam2,sam-bam,True,https://github.com/gt1/biobambam2,https://github.com/gt1/biobambam2,,2015-04-16 12:37:14,2019-03-12 16:24:55,2019-03-12 16:23:43,16.0,27.0,43.0,84,1175.0,2018-03-01 13:57:10,2.0.87-release-20180301132713,50.0,Tools for early stage alignment file processing.,,,8.0,13,3,11366.0,162.0,
51,Phen2Gene,WGLab/Phen2Gene,others,True,https://github.com/WGLab/Phen2Gene,https://github.com/WGLab/Phen2Gene,MIT,2019-03-15 15:32:12,2021-01-12 08:36:08,2021-01-12 08:36:07,7.0,2.0,6.0,23,112.0,2020-06-12 00:29:15,1.2.2,7.0,Phenotype driven gene prioritization for HPO.,,,14.0,13,3,650.0,29.0,
52,hts-specs,samtools/hts-specs,sam-bam,True,https://github.com/samtools/hts-specs,https://github.com/samtools/hts-specs,,2012-03-09 01:58:32,2021-02-04 14:09:04,2021-02-04 14:07:52,141.0,120.0,150.0,422,544.0,,,,Specifications of SAM/BAM and related high-throughput sequencing file formats.,,,50.0,12,3,,,
53,velvet,dzerbino/velvet,assembler,True,https://github.com/dzerbino/velvet,https://github.com/dzerbino/velvet,GPL-2.0,2008-11-07 18:01:58,2018-07-05 15:48:40,2014-08-15 16:13:23,84.0,,32.0,233,400.0,2018-07-05 15:48:40,1.2.10,1.0,Short read de novo assembler using de Bruijn graphs.,,,15.0,12,3,,,
54,SpliceAI,Illumina/SpliceAI,variant-annotation,True,https://github.com/Illumina/SpliceAI,https://github.com/Illumina/SpliceAI,,2019-01-02 20:37:36,2020-12-09 22:35:22,2020-05-15 06:15:05,66.0,1.0,59.0,163,160.0,,,,A deep learning-based tool to identify splice variants.,4.0,4.0,11.0,12,2,,,
55,FastQC,s-andrews/FastQC,fasta-fastq,True,https://github.com/s-andrews/FastQC,https://github.com/s-andrews/FastQC,,2017-12-21 11:48:51,2021-01-13 13:18:07,2021-01-13 13:18:06,43.0,21.0,44.0,158,49.0,2020-01-08 14:24:09,0.11.9,4.0,A quality control analysis tool for high throughput sequencing data.,,,7.0,12,3,,,
56,hmmer,EddyRivasLab/hmmer,others,True,https://github.com/EddyRivasLab/hmmer,https://github.com/EddyRivasLab/hmmer,,2015-08-30 03:14:51,2021-01-29 14:23:06,2020-11-27 12:44:21,41.0,6.0,181.0,151,1758.0,,,,HMMER: biological sequence analysis using profile HMMs.,,,18.0,12,3,,,
57,msisensor,ding-lab/msisensor,msi-detection,True,https://github.com/ding-lab/msisensor,https://github.com/ding-lab/msisensor,MIT,2013-09-26 19:18:35,2021-01-06 07:12:42,2021-01-06 07:12:41,45.0,10.0,32.0,103,109.0,2019-05-21 19:01:18,0.6,6.0,microsatellite instability detection using tumor only or paired tumor-normal data.,,,5.0,12,1,336.0,10.0,
58,RepeatHMM,WGLab/RepeatHMM,structural-variation,True,https://github.com/WGLab/RepeatHMM,https://github.com/WGLab/RepeatHMM,,2016-07-12 06:23:38,2020-12-30 14:40:12,2020-12-30 14:40:11,12.0,4.0,29.0,22,165.0,2020-12-03 17:34:24,2.0.3,5.0,a hidden Markov model to infer simple repeats from genome sequences.,,,9.0,12,3,36.0,0.0,
59,hap.py,Illumina/hap.py,vcf-bcf,True,https://github.com/Illumina/hap.py,https://github.com/Illumina/hap.py,,2015-04-28 12:43:18,2020-02-27 19:38:12,2020-02-13 23:21:32,77.0,68.0,53.0,245,577.0,2019-10-11 18:26:30,0.3.12,4.0,Haplotype VCF comparison tools.,,,18.0,11,3,50.0,1.0,
60,gtz,Genetalks/gtz,fasta-fastq,True,https://github.com/Genetalks/gtz,https://github.com/Genetalks/gtz,,2016-11-11 06:26:00,2020-12-15 08:32:01,2020-12-15 08:32:00,36.0,9.0,20.0,134,795.0,,,11.0,"A high performance and compression ratio compressor for genomic data, powered by GTXLab of Genetalks.",,,17.0,11,3,,,
61,repaq,OpenGene/repaq,fasta-fastq,True,https://github.com/OpenGene/repaq,https://github.com/OpenGene/repaq,MIT,2018-07-20 14:35:55,2020-06-14 22:14:51,2020-06-14 22:14:49,15.0,6.0,12.0,82,69.0,2020-01-07 10:03:07,0.3.0,4.0,A fast lossless FASTQ compressor with ultra-high compression ratio.,,,3.0,11,3,,,
62,pbsv,PacificBiosciences/pbsv,structural-variation,True,https://github.com/PacificBiosciences/pbsv,https://github.com/PacificBiosciences/pbsv,BSD-3-Clause-Clear,2018-05-11 14:42:35,2020-10-15 18:46:32,2020-10-15 18:46:05,8.0,,,48,29.0,2020-09-23 10:35:39,2.4.0,10.0,pbsv - PacBio structural variant (SV) calling and analysis tools.,,,4.0,11,3,,,
63,GTCtoVCF,Illumina/GTCtoVCF,others,True,https://github.com/Illumina/GTCtoVCF,https://github.com/Illumina/GTCtoVCF,Apache-2.0,2017-10-16 21:28:37,2020-07-09 21:37:46,2020-04-07 18:07:47,18.0,10.0,28.0,25,103.0,2020-04-07 18:05:32,1.2.1,2.0,Script to convert GTC/BPM files to VCF.,,,10.0,11,3,,,
64,CrossMap,liguowang/CrossMap,others,True,https://github.com/liguowang/CrossMap,https://github.com/liguowang/CrossMap,,2018-07-03 19:06:16,2021-01-14 17:00:22,2021-01-14 16:59:58,9.0,13.0,9.0,12,50.0,2020-12-30 17:13:19,0.5.2,6.0,CrossMap is a python program to lift over genome coordinates from one genome version to another.,11.0,11.0,2.0,11,3,,,
65,varscan,dkoboldt/varscan,variant-caller,True,https://github.com/dkoboldt/varscan,https://github.com/dkoboldt/varscan,,2015-08-19 17:02:46,2019-07-25 19:52:17,2019-07-25 19:51:52,29.0,54.0,6.0,116,10.0,2016-05-26 17:45:18,2.4.2,3.0,Variant calling and somatic mutation/CNV detection for next-generation sequencing data.,,,2.0,10,3,12202.0,187.0,
66,SnpEff,pcingola/SnpEff,variant-annotation,True,https://github.com/pcingola/SnpEff,https://github.com/pcingola/SnpEff,,2014-01-31 22:22:33,2021-01-31 00:17:12,2021-01-31 00:17:07,51.0,12.0,246.0,112,2367.0,,,,,,,19.0,10,3,,,
67,InterVar,WGLab/InterVar,variant-annotation,True,https://github.com/WGLab/InterVar,https://github.com/WGLab/InterVar,,2015-11-17 07:16:03,2021-01-25 22:19:48,2021-01-25 22:19:31,61.0,25.0,27.0,112,137.0,2020-01-02 15:20:28,V2.1.3,9.0,A bioinformatics software tool for clinical interpretation of genetic variants by the 2015 ACMG-AMP guideline.,,,3.0,10,3,,,
68,mutect,broadinstitute/mutect,variant-caller,True,https://github.com/broadinstitute/mutect,https://github.com/broadinstitute/mutect,,2013-01-29 15:09:43,2015-08-26 07:00:26,2014-06-01 20:34:34,40.0,8.0,1.0,87,122.0,2013-08-22 21:08:56,1.1.5,1.0,MuTect -- Accurate and sensitive cancer mutation detection.,,,4.0,10,3,5846.0,64.0,
69,pbmm2,PacificBiosciences/pbmm2,ngs-alignment,True,https://github.com/PacificBiosciences/pbmm2,https://github.com/PacificBiosciences/pbmm2,BSD-3-Clause-Clear,2017-11-12 13:19:24,2020-09-23 09:41:09,2020-09-22 12:27:21,15.0,,,75,,2020-09-23 09:42:08,1.4.0,3.0,A minimap2 frontend for PacBio native data formats.,,,10.0,10,3,,,
70,fastv,OpenGene/fastv,fasta-fastq,True,https://github.com/OpenGene/fastv,https://github.com/OpenGene/fastv,MIT,2020-03-26 03:33:51,2020-09-29 01:10:39,2020-09-29 01:10:37,11.0,4.0,7.0,68,110.0,2020-05-25 08:45:21,0.8.1,6.0,An ultra-fast tool for identification of SARS-CoV-2 and other microbes from sequencing data. This tool can be used to..,,,2.0,10,3,,,
71,Spring,shubhamchandak94/Spring,fasta-fastq,True,https://github.com/shubhamchandak94/Spring,https://github.com/shubhamchandak94/Spring,,2018-04-03 18:29:30,2020-11-14 19:20:08,2020-11-14 19:20:07,14.0,,19.0,43,43.0,2020-11-14 16:03:48,1.0.1,2.0,FASTQ compression.,,,,10,3,,,
72,PharmCAT,PharmGKB/PharmCAT,others,True,https://github.com/PharmGKB/PharmCAT,https://github.com/PharmGKB/PharmCAT,MPL-2.0,2016-04-07 01:38:19,2020-12-11 05:58:36,2020-09-09 03:03:29,16.0,7.0,27.0,38,,,,10.0,The Pharmacogenomic Clinical Annotation Tool.,,,15.0,10,3,1012.0,17.0,
