,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads
18,UMI-tools,CGATOxford/UMI-tools,sam-bam-cram,True,https://github.com/CGATOxford/UMI-tools,https://github.com/CGATOxford/UMI-tools,MIT,2015-03-06 15:10:20,2021-02-05 17:04:30,2021-02-05 17:04:30,158.0,30.0,291.0,307,852.0,2020-11-18 19:58:45,1.1.1,29.0,Tools for handling Unique Molecular Identifiers in NGS data sets.,,,29.0,19,2,3261.0,56.0
19,delly,dellytools/delly,structural-variation,True,https://github.com/dellytools/delly,https://github.com/dellytools/delly,BSD-3-Clause,2013-11-15 08:51:49,2021-02-17 12:39:52,2021-02-17 12:39:47,99.0,4.0,209.0,244,1187.0,2021-01-05 10:34:41,0.8.7,34.0,DELLY2: Structural variant discovery by integrated paired-end and split-read analysis.,,,9.0,19,1,17402.0,200.0
20,mhcflurry,openvax/mhcflurry,mhc-hla,True,https://github.com/openvax/mhcflurry,https://github.com/openvax/mhcflurry,Apache-2.0,2015-06-29 02:29:54,2021-01-07 20:47:10,2021-01-07 20:47:05,32.0,3.0,102.0,108,1607.0,2020-07-20 14:55:52,2.0.1,23.0,Peptide-MHC I binding affinity prediction.,14.0,14.0,12.0,19,1,43403.0,818.0
21,bwa,lh3/bwa,ngs-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2021-02-04 15:08:50,2020-07-02 17:49:42,435.0,126.0,82.0,952,931.0,2017-10-23 17:12:23,0.7.17,4.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,,,31.0,18,2,50133.0,835.0
22,seqkit,shenwei356/seqkit,fasta-fastq,True,https://github.com/shenwei356/seqkit,https://github.com/shenwei356/seqkit,MIT,2016-02-28 10:04:40,2021-02-18 02:38:05,2021-02-18 02:37:40,89.0,5.0,151.0,598,569.0,2021-01-12 14:39:55,0.15.0,72.0,A cross-platform and ultrafast toolkit for FASTA/Q file manipulation in Golang.,,,5.0,18,1,42627.0,722.0
23,vcflib,vcflib/vcflib,vcf-bcf,True,https://github.com/vcflib/vcflib,https://github.com/vcflib/vcflib,MIT,2010-09-22 23:25:59,2021-02-17 08:05:54,2021-02-17 08:05:20,178.0,21.0,192.0,411,971.0,2021-01-04 16:42:33,1.0.2,5.0,C++ library and cmdline tools for parsing and manipulating VCF files.,,,67.0,18,2,1167.0,19.0
24,mosdepth,brentp/mosdepth,sam-bam-cram,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2020-11-20 16:00:42,2020-11-20 16:00:16,65.0,21.0,97.0,373,198.0,2020-09-29 21:44:09,0.3.1,20.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",,,14.0,18,3,64356.0,1532.0
25,pyfaidx,mdshw5/pyfaidx,fasta-fastq,True,https://github.com/mdshw5/pyfaidx,https://github.com/mdshw5/pyfaidx,,2013-09-12 19:02:32,2020-12-08 23:10:38,2020-12-08 23:07:05,50.0,14.0,110.0,306,667.0,2020-12-08 23:10:38,0.5.9.2,60.0,Efficient pythonic random access to fasta subsequences.,440.0,440.0,25.0,18,1,,
26,abyss,bcgsc/abyss,assembler,True,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss,,2012-03-19 23:13:39,2021-01-25 22:11:25,2020-12-02 23:47:49,74.0,5.0,283.0,219,5489.0,2020-09-18 20:55:08,2.2.5,23.0,Assemble large genomes using short reads.,,,48.0,18,2,25993.0,285.0
27,STAR,alexdobin/STAR,ngs-alignment,True,https://github.com/alexdobin/STAR,https://github.com/alexdobin/STAR,MIT,2014-03-15 15:47:05,2020-12-28 20:42:04,2020-12-28 20:41:48,289.0,277.0,791.0,1025,977.0,2020-12-28 20:43:39,2.7.7a,41.0,RNA-seq aligner.,,,36.0,17,2,349.0,4.0
28,pysam,pysam-developers/pysam,sam-bam-cram,True,https://github.com/pysam-developers/pysam,https://github.com/pysam-developers/pysam,MIT,2014-02-05 20:38:10,2021-01-12 22:10:42,2021-01-11 19:58:05,199.0,199.0,497.0,483,1894.0,2020-06-16 23:04:57,0.16.0.1,28.0,Pysam is a Python module for reading and manipulating SAM/BAM/VCF/BCF files. It's a lightweight wrapper of the htslib..,,,96.0,17,3,,
29,ensembl-vep,Ensembl/ensembl-vep,variant-annotation,True,https://github.com/Ensembl/ensembl-vep,https://github.com/Ensembl/ensembl-vep,Apache-2.0,2016-04-05 12:08:24,2021-02-17 16:08:36,2021-02-17 12:09:43,93.0,81.0,471.0,249,1623.0,2021-02-17 13:17:26,release/103.1,49.0,The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants.,,,22.0,17,1,,
30,cyvcf2,brentp/cyvcf2,vcf-bcf,True,https://github.com/brentp/cyvcf2,https://github.com/brentp/cyvcf2,MIT,2015-08-12 14:30:29,2021-02-14 15:10:25,2021-02-14 15:10:20,48.0,29.0,111.0,242,383.0,,,,cython + htslib == fast VCF and BCF processing.,176.0,176.0,29.0,17,3,,
31,pybedtools,daler/pybedtools,bed-gtf-gff,True,https://github.com/daler/pybedtools,https://github.com/daler/pybedtools,,2010-05-14 21:09:33,2021-02-11 23:20:24,2020-10-10 13:13:41,80.0,15.0,224.0,216,1721.0,,,,Python wrapper -- and more -- for Aaron Quinlan's BEDTools (bioinformatics tools).,629.0,629.0,33.0,17,2,,
32,gffread,gpertea/gffread,bed-gtf-gff,True,https://github.com/gpertea/gffread,https://github.com/gpertea/gffread,MIT,2015-12-17 21:56:18,2021-02-06 22:37:48,2021-02-06 22:37:48,24.0,25.0,42.0,180,164.0,2021-02-06 01:20:13,0.12.6,7.0,"GFF/GTF utility providing format conversions, region filtering, FASTA sequence extraction and more.",,,4.0,17,2,721.0,60.0
33,fastp,OpenGene/fastp,qc-fastq,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2021-01-05 07:19:54,2020-10-14 09:40:00,197.0,148.0,145.0,946,337.0,2020-04-08 08:09:09,0.20.1,35.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,,,17.0,16,1,,
34,igv,igvteam/igv,visualization,True,https://github.com/igvteam/igv,https://github.com/igvteam/igv,MIT,2012-02-11 17:30:30,2021-02-18 06:05:36,2021-02-18 06:05:32,192.0,58.0,677.0,416,6394.0,,,,"Integrative Genomics Viewer. Fast, efficient, scalable visualization tool for genomics data and annotations.",,,53.0,16,3,,
35,hisat2,DaehwanKimLab/hisat2,ngs-alignment,True,https://github.com/DaehwanKimLab/hisat2,https://github.com/DaehwanKimLab/hisat2,GPL-3.0,2015-06-18 19:40:34,2021-01-25 16:20:11,2020-12-21 20:05:41,76.0,132.0,107.0,289,1458.0,2020-07-24 20:08:11,2.2.1,4.0,Graph-based alignment (Hierarchical Graph FM index).,,,26.0,16,3,,
36,Jellyfish,gmarcais/Jellyfish,fasta-fastq,True,https://github.com/gmarcais/Jellyfish,https://github.com/gmarcais/Jellyfish,,2013-12-02 16:37:55,2020-12-01 09:26:39,2020-05-05 18:35:47,118.0,71.0,83.0,277,630.0,2019-07-13 12:25:04,2.3.0,11.0,A fast multi-threaded k-mer counter.,,,12.0,16,2,84111.0,1201.0
37,manta,Illumina/manta,structural-variation,True,https://github.com/Illumina/manta,https://github.com/Illumina/manta,,2013-05-30 19:33:47,2019-07-17 18:40:58,2019-07-17 18:40:08,84.0,84.0,166.0,264,2631.0,2019-07-17 18:30:16,1.5.1,54.0,Structural variant and indel caller for mapped sequencing data.,,,22.0,16,1,22236.0,252.0
38,vcfanno,brentp/vcfanno,vcf-bcf,True,https://github.com/brentp/vcfanno,https://github.com/brentp/vcfanno,MIT,2015-04-29 16:00:43,2020-04-15 18:28:07,2020-04-15 18:27:06,44.0,26.0,96.0,258,363.0,2019-07-30 17:07:44,0.3.2,30.0,annotate a VCF with other VCFs/BEDs/tabixed files.,,,9.0,16,3,21831.0,311.0
39,DnaFeaturesViewer,Edinburgh-Genome-Foundry/DnaFeaturesViewer,visualization,True,https://github.com/Edinburgh-Genome-Foundry/DnaFeaturesViewer,https://github.com/Edinburgh-Genome-Foundry/DnaFeaturesViewer,MIT,2016-09-20 16:57:39,2020-12-01 17:25:15,2020-09-20 18:38:58,43.0,22.0,24.0,251,156.0,2020-09-20 18:40:46,3.0.3,2.0,Python library to plot DNA sequence features (e.g. from Genbank files).,,,5.0,16,3,,
40,strelka,Illumina/strelka,variant-caller,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,,2016-10-17 23:30:24,2020-10-16 22:22:33,2019-02-06 00:41:27,69.0,83.0,104.0,238,3300.0,2018-11-08 00:50:05,2.9.10,18.0,Strelka2 germline and somatic small variant caller.,,,28.0,16,2,15464.0,297.0
41,stringtie,gpertea/stringtie,others,True,https://github.com/gpertea/stringtie,https://github.com/gpertea/stringtie,MIT,2014-10-13 17:59:11,2021-02-20 04:20:28,2021-02-01 21:29:10,40.0,143.0,174.0,187,323.0,2020-07-08 01:41:35,2.1.4,12.0,Transcript assembly and quantification for RNA-Seq.,,,9.0,16,2,1350.0,38.0
42,gffutils,daler/gffutils,bed-gtf-gff,True,https://github.com/daler/gffutils,https://github.com/daler/gffutils,MIT,2011-10-12 13:48:14,2021-01-26 14:20:44,2019-12-30 02:40:10,57.0,29.0,85.0,161,613.0,,,,GFF and GTF file manipulation and interconversion.,161.0,161.0,15.0,16,3,,
43,Augustus,Gaius-Augustus/Augustus,others,True,https://github.com/Gaius-Augustus/Augustus,https://github.com/Gaius-Augustus/Augustus,,2018-05-24 17:34:26,2021-02-12 15:39:57,2021-02-12 15:39:47,60.0,97.0,74.0,124,2412.0,2020-12-11 16:09:15,3.4.0,3.0,Genome annotation with AUGUSTUS.,,,30.0,16,2,2591.0,92.0
44,MACS,macs3-project/MACS,others,True,https://github.com/macs3-project/MACS,https://github.com/macs3-project/MACS,BSD-3-Clause,2011-03-02 19:40:25,2021-02-09 17:36:45,2021-02-08 15:29:47,214.0,190.0,184.0,469,1075.0,2020-04-12 00:06:32,2.2.7.1,19.0,MACS -- Model-based Analysis of ChIP-Seq.,,,18.0,15,2,,
45,pyGenomeTracks,deeptools/pyGenomeTracks,visualization,True,https://github.com/deeptools/pyGenomeTracks,https://github.com/deeptools/pyGenomeTracks,GPL-3.0,2017-10-27 14:23:59,2020-11-19 11:45:15,2020-11-12 14:59:51,71.0,12.0,117.0,432,1283.0,2020-11-12 15:01:17,3.6,15.0,python module to plot beautiful and highly customizable genome browser tracks.,4.0,4.0,11.0,15,3,,
46,bwa-mem2,bwa-mem2/bwa-mem2,ngs-alignment,True,https://github.com/bwa-mem2/bwa-mem2,https://github.com/bwa-mem2/bwa-mem2,,2019-02-26 15:00:44,2021-02-18 18:49:11,2021-02-18 08:33:58,47.0,17.0,88.0,396,220.0,2020-10-15 21:24:12,2.1,4.0,The next version of bwa-mem.,,,9.0,15,3,5314.0,253.0
47,cutadapt,marcelm/cutadapt,qc-fastq,True,https://github.com/marcelm/cutadapt,https://github.com/marcelm/cutadapt,MIT,2012-06-06 20:26:25,2021-02-18 14:13:07,2021-02-18 14:13:01,98.0,22.0,443.0,336,,,,,Cutadapt removes adapter sequences from sequencing reads.,189.0,189.0,26.0,15,2,,
48,cnvkit,etal/cnvkit,structural-variation,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2021-01-01 15:15:33,2020-12-14 02:00:57,106.0,144.0,361.0,278,1544.0,2020-06-05 13:57:54,0.9.7,38.0,Copy number variant detection from targeted DNA sequencing.,,,22.0,15,2,,
49,ngmlr,philres/ngmlr,ngs-alignment,True,https://github.com/philres/ngmlr,https://github.com/philres/ngmlr,MIT,2016-09-01 13:11:53,2020-09-24 05:59:17,2018-09-11 18:25:38,33.0,33.0,52.0,214,664.0,2018-06-25 08:30:20,0.2.7,10.0,NGMLR is a long-read mapper designed to align PacBio or Oxford Nanopore (standard and ultra-long) to a reference..,,,13.0,15,3,3947.0,74.0
50,smoove,brentp/smoove,structural-variation,True,https://github.com/brentp/smoove,https://github.com/brentp/smoove,Apache-2.0,2018-01-27 03:03:11,2021-01-29 22:56:37,2021-01-29 22:56:27,12.0,44.0,90.0,145,162.0,2020-10-20 17:06:58,0.2.6,17.0,"structural variant calling and genotyping with existing tools, but, smoothly.",,,5.0,15,2,2932.0,83.0
51,Exomiser,exomiser/Exomiser,others,True,https://github.com/exomiser/Exomiser,https://github.com/exomiser/Exomiser,AGPL-3.0,2014-11-04 10:09:50,2021-02-04 22:19:36,2019-10-01 09:04:41,34.0,102.0,243.0,77,2486.0,2019-10-01 15:21:29,12.1.0,21.0,A Tool to Annotate and Prioritize Exome Variants.,,,15.0,15,2,6581.0,87.0
52,seqtk,lh3/seqtk,fasta-fastq,True,https://github.com/lh3/seqtk,https://github.com/lh3/seqtk,MIT,2012-03-23 23:24:13,2020-12-06 17:15:40,2020-12-04 16:35:07,232.0,31.0,97.0,784,117.0,2018-06-18 00:25:49,1.3,3.0,Toolkit for processing sequences in FASTA/Q formats.,,,8.0,14,3,,
53,sra-tools,ncbi/sra-tools,others,True,https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools,,2014-08-21 21:25:38,2021-02-19 17:39:07,2020-12-16 18:13:51,157.0,55.0,404.0,515,4566.0,,,,SRA Tools.,,,31.0,14,2,,
54,wtdbg2,ruanjue/wtdbg2,assembler,True,https://github.com/ruanjue/wtdbg2,https://github.com/ruanjue/wtdbg2,GPL-3.0,2017-09-29 10:24:08,2021-02-06 12:20:30,2020-12-11 02:30:21,79.0,15.0,198.0,404,437.0,2019-09-13 08:06:32,2.5,6.0,Redbean: A fuzzy Bruijn graph approach to long noisy reads assembly.,,,7.0,14,2,1281.0,44.0
55,Sniffles,fritzsedlazeck/Sniffles,structural-variation,True,https://github.com/fritzsedlazeck/Sniffles,https://github.com/fritzsedlazeck/Sniffles,MIT,2015-10-25 18:32:47,2020-12-18 14:47:59,2020-12-18 14:47:54,46.0,43.0,202.0,245,182.0,2020-07-14 17:27:50,1.0.12a,13.0,Structural variation caller using third generation sequencing.,,,10.0,14,2,,
56,kaiju,bioinformatics-centre/kaiju,others,True,https://github.com/bioinformatics-centre/kaiju,https://github.com/bioinformatics-centre/kaiju,GPL-3.0,2015-11-16 15:33:25,2020-11-16 16:49:17,2020-11-16 16:49:16,44.0,20.0,140.0,144,197.0,2020-11-04 11:59:24,1.7.4,22.0,Fast taxonomic classification of metagenomic sequencing reads using a protein reference database.,,,10.0,14,2,1397.0,22.0
57,Liftoff,agshumate/Liftoff,others,True,https://github.com/agshumate/Liftoff,https://github.com/agshumate/Liftoff,GPL-3.0,2019-11-05 18:33:50,2021-02-12 16:12:10,2021-02-12 16:12:10,16.0,8.0,45.0,127,278.0,2021-01-05 15:37:35,1.5.2,12.0,An accurate GFF3/GTF lift over pipeline.,3.0,3.0,8.0,14,2,,
58,blasr,PacificBiosciences/blasr,ngs-alignment,True,https://github.com/PacificBiosciences/blasr,https://github.com/PacificBiosciences/blasr,BSD-3-Clause-Clear,2013-03-12 15:22:21,2021-02-18 11:28:57,2021-02-18 10:03:26,76.0,,,122,672.0,2021-02-18 14:43:34,5.3.5,6.0,BLASR: The PacBio long read aligner.,,,19.0,14,3,,
59,samblaster,GregoryFaust/samblaster,sam-bam-cram,True,https://github.com/GregoryFaust/samblaster,https://github.com/GregoryFaust/samblaster,MIT,2014-02-11 18:27:47,2020-06-04 16:29:22,2020-06-04 16:29:03,21.0,8.0,34.0,159,88.0,2020-06-04 16:29:22,.0.1.26,14.0,samblaster: a tool to mark duplicates and extract discordant and split reads from sam files.,,,5.0,13,3,7818.0,94.0
60,SOAPdenovo2,aquaskyline/SOAPdenovo2,assembler,True,https://github.com/aquaskyline/SOAPdenovo2,https://github.com/aquaskyline/SOAPdenovo2,GPL-3.0,2013-08-24 06:11:01,2021-01-21 02:55:17,2021-01-21 02:55:16,51.0,1.0,59.0,149,52.0,2020-10-23 01:21:46,r242,3.0,Next generation sequencing reads de novo assembler.,,,11.0,13,3,,
61,VarDict,AstraZeneca-NGS/VarDict,variant-caller,True,https://github.com/AstraZeneca-NGS/VarDict,https://github.com/AstraZeneca-NGS/VarDict,MIT,2014-07-15 12:50:23,2021-01-25 14:10:55,2021-01-25 14:10:54,50.0,15.0,78.0,140,292.0,,,,VarDict.,,,21.0,13,3,,
62,neusomatic,bioinform/neusomatic,variant-caller,True,https://github.com/bioinform/neusomatic,https://github.com/bioinform/neusomatic,,2018-08-24 22:34:59,2021-01-26 19:25:39,2020-02-28 08:11:28,37.0,13.0,26.0,124,194.0,2019-07-11 07:35:04,0.2.1,7.0,NeuSomatic: Deep convolutional neural networks for accurate somatic mutation detection.,,,25.0,13,3,,
63,fastx_toolkit,agordon/fastx_toolkit,qc-fastq,True,https://github.com/agordon/fastx_toolkit,https://github.com/agordon/fastx_toolkit,,2013-11-08 13:03:39,2018-12-31 18:07:48,2017-08-14 18:08:32,52.0,7.0,11.0,120,178.0,2014-01-05 21:18:39,0.0.14,4.0,FASTA/FASTQ pre-processing programs.,,,3.0,13,3,68404.0,786.0
64,OptiType,FRED-2/OptiType,mhc-hla,True,https://github.com/FRED-2/OptiType,https://github.com/FRED-2/OptiType,BSD-3-Clause,2014-05-07 12:08:32,2020-09-15 10:42:30,2020-09-15 10:27:36,63.0,28.0,60.0,115,136.0,2020-09-15 10:42:30,1.3.5,7.0,Precision HLA typing from next-generation sequencing data.,,,13.0,13,2,,
65,MutScan,OpenGene/MutScan,fasta-fastq,True,https://github.com/OpenGene/MutScan,https://github.com/OpenGene/MutScan,MIT,2016-07-23 02:34:15,2020-01-21 01:36:20,2020-01-21 01:36:19,33.0,3.0,7.0,113,249.0,2018-05-17 13:43:13,1.14.0,26.0,Detect and visualize target mutations by scanning FastQ files directly.,,,4.0,13,3,7.0,0.0
66,biobambam2,gt1/biobambam2,sam-bam-cram,True,https://github.com/gt1/biobambam2,https://github.com/gt1/biobambam2,,2015-04-16 12:37:14,2019-03-12 16:24:55,2019-03-12 16:23:43,16.0,27.0,43.0,84,1175.0,2018-03-01 13:57:10,2.0.87-release-20180301132713,50.0,Tools for early stage alignment file processing.,,,8.0,13,3,11378.0,162.0
67,svim,eldariont/svim,structural-variation,True,https://github.com/eldariont/svim,https://github.com/eldariont/svim,GPL-3.0,2018-02-01 09:40:35,2021-02-18 16:24:24,2021-01-18 14:33:05,8.0,3.0,42.0,75,340.0,2020-10-08 11:33:29,1.4.2,15.0,Structural Variant Identification Method using Long Reads.,1.0,1.0,,13,3,,
68,GeneFuse,OpenGene/GeneFuse,structural-variation,True,https://github.com/OpenGene/GeneFuse,https://github.com/OpenGene/GeneFuse,MIT,2017-01-20 06:12:55,2020-09-17 08:39:30,2020-09-17 08:39:30,45.0,24.0,3.0,68,149.0,2018-09-27 14:05:26,0.6.1,7.0,Gene fusion detection and visualization.,,,3.0,13,3,,
69,cuteSV,tjiangHIT/cuteSV,structural-variation,True,https://github.com/tjiangHIT/cuteSV,https://github.com/tjiangHIT/cuteSV,MIT,2018-09-11 08:26:12,2021-01-23 09:01:42,2021-01-23 09:01:41,6.0,1.0,21.0,61,161.0,2020-12-31 01:50:39,cuteSV-v1.0.10,10.0,Long read based human genomic structural variation detection with cuteSV.,,,4.0,13,3,,
70,denovogear,ultimatesource/denovogear,variant-caller,True,https://github.com/ultimatesource/denovogear,https://github.com/ultimatesource/denovogear,GPL-3.0,2013-12-19 02:31:41,2020-03-30 05:20:42,2020-03-30 05:20:41,23.0,44.0,113.0,39,973.0,2015-04-21 00:22:41,1.1.1,5.0,A program to detect denovo-variants using next-generation sequencing data.,,,25.0,13,3,912.0,11.0
71,Phen2Gene,WGLab/Phen2Gene,others,True,https://github.com/WGLab/Phen2Gene,https://github.com/WGLab/Phen2Gene,MIT,2019-03-15 15:32:12,2021-01-12 08:36:08,2021-01-12 08:36:07,8.0,2.0,6.0,23,112.0,2020-06-12 00:29:15,1.2.2,7.0,Phenotype driven gene prioritization for HPO.,,,14.0,13,3,665.0,30.0
72,hts-specs,samtools/hts-specs,sam-bam-cram,True,https://github.com/samtools/hts-specs,https://github.com/samtools/hts-specs,,2012-03-09 01:58:32,2021-02-16 22:46:28,2021-02-16 22:22:02,141.0,121.0,150.0,422,546.0,,,,Specifications of SAM/BAM and related high-throughput sequencing file formats.,,,50.0,12,3,,
